,Product Id,Product Name,Product Price,Average Rating,Number of Reviews,Product Channel,Product Promotions,product Href,Product Image
0,productCard-prod21064464,Panasonic 1.6 cu. ft. Stainless-Steel Microwave Oven,139,4.695,141,Online,,/sams/1-6-microwave/prod21064464.ip?xid=plp_product_1_1,
1,productCard-prod20295218,Panasonic 2.2 cu. ft. Stainless-Steel Microwave Oven with Inverter Technology,159,4.7455,110,Online,,/sams/2-2cuft-ss-microwave/prod20295218.ip?xid=plp_product_1_2,
2,productCard-prod20361863,Oster 0.9 cu. ft. Digital Microwave Oven,49,3.6667,6,Online,,/sams/oster-microwave-oven-in-club-item-189184/prod20361863.ip?xid=plp_product_1_3,
3,productCard-prod6480185,Sharp Commercial Microwave Oven,,3.8333,12,,Member-only price,/sams/sharp-commercial-microwave-oven/prod6480185.ip?xid=plp_product_1_4,
4,productCard-prod22180130,Galaxy 0.8 cu. ft. Freestanding Microwave Oven,269,1,1,Online only,,/sams/galaxy-freestanding-appliance-combo-microwave-oven-w-grill/prod22180130.ip?xid=plp_product_1_5,
5,productCard-prod21372517,Oster 1.1 cu. ft. Digital Microwave Oven with Sensor (Assorted Colors),69,3.4,5,Online,,/sams/oster-1-1-mwo-white-inclub-980013515/prod21372517.ip?xid=plp_product_1_6,
6,productCard-prod23132793,"SAMSUNG - 2.1 cu. ft. Over The Range Microwave with Sensor Cooking, Tuscan Stainless - ME21R706BAT",,0,0,,,/sams/samsung-over-the-range-microwave-sensor-cook-tuscan-kitchen/prod23132793.ip?xid=plp_product_1_7,
7,productCard-prod22524817,SAMSUNG 2.1 Cu. Ft. Over-the-Range Microwave with Sensor Cook- ME21M706BAG,,4.1176,34,,$74 off with Tech Savings,/sams/samsung-over-range-microwave-sensor-cook-black-me21m706bag/prod22524817.ip?xid=plp_product_1_8,
8,productCard-prod22921149,LG - LMV1831BD - 1.8 Cu Ft Over-the-Range Microwave Oven with EasyClean - Black Stainless Steel,,4.3333,144,,$76 off with Tech Savings,/sams/lg-lmv1831bd-over-the-range-microwave-oven-easyclean/prod22921149.ip?xid=plp_product_1_9,
9,productCard-prod20641369,LG - 2.0 cu.ft. Over-the-Range Microwave Oven - LMV2031ST Stainless Steel,,4.4737,895,,$90.88 off with Tech Savings,/sams/over-range-microwave-microwave-hood/prod20641369.ip?xid=plp_product_1_10,
10,productCard-prod20641372,LG - 2.0 cu.ft. Over-the-Range Microwave Oven - LMV2031BD Black Stainless Steel,,4.4749,897,,$90 off with Tech Savings,/sams/over-range-microwave-microwave-hood/prod20641372.ip?xid=plp_product_1_11,
11,productCard-prod20641374,"LG - Black Stainless Steel Series 2.2 cu.ft. Over-the-Range Microwave Oven -
LMHM2237BD Black Stainless Steel",,4.5117,385,,$80 off with Tech Savings,/sams/over-range-microwave-microwave-hood/prod20641374.ip?xid=plp_product_1_12,
12,productCard-prod22524849,"SAMSUNG 2.1 Cu. Ft. Over-The-Range Microwave with Sensor Cooking Controls, Stainless Steel - ME21M706BAS",,4.3835,678,,$105 off with Tech Savings,/sams/samsung-over-range-microwave-sensor-cook-stainless-steel-me18h704sfs/prod22524849.ip?xid=plp_product_1_13,
13,productCard-prod22524815,"SAMSUNG 2.1 Cu. Ft. Over-The-Range Microwave with Sensor Cook, Black Stainless Steel - ME18H704SFGl - ME21M706BAG",,4.385,678,,$80 off with Tech Savings,/sams/samsung-over-range-microwave-sensor-cook-black-stainless-me18h704sfg/prod22524815.ip?xid=plp_product_1_14,
14,productCard-prod20652894,LG - 2.2. cu. ft. Over-the-Range Microwave Oven - LMHM2237ST Stainless-Steel,,4.5091,383,,$80 off with Tech Savings,/sams/over-range-microwave-microwave-hood/prod20652894.ip?xid=plp_product_1_15,
15,productCard-prod20641368,LG - 1.8 cu.ft. Over-the-Range Microwave Oven - LMV1831ST Stainless Steel,,4.3473,357,,$30.88 off with Tech Savings,/sams/over-range-microwave-microwave-hood/prod20641368.ip?xid=plp_product_1_16,
16,productCard-prod22524814,"SAMSUNG 1.7 Cu. Ft. Over-The-Range Convection Microwave, Stainless Steel - MC17J8000CS",,4.3645,107,,$74 off with Tech Savings,/sams/samsung-over-range-convection-microwave-stainless-steel-mc17j8000cs/prod22524814.ip?xid=plp_product_1_17,
17,productCard-prod22524816,SAMSUNG 2.1 Cu. Ft. Over-the-Range Microwave with Sensor Cooking Controls- ME21M706BAS,,4.1176,34,,$84 off with Tech Savings,/sams/samsung-over-range-microwave-sensor-cook-stainless-me21m706bas/prod22524816.ip?xid=plp_product_1_18,
18,productCard-prod22524813,"SAMSUNG 1.7 Cu. Ft. Over-The-Range Convection Microwave, Black Stainless Steel - MC17J8000CG",,4.3645,107,,$70 off with Tech Savings,/sams/samsung-over-range-convection-microwave-black-stainless-mc17j8000cg/prod22524813.ip?xid=plp_product_1_19,
19,productCard-prod18440456,"Act II Butter Lovers Microwave Popcorn (3 oz., 30 pk.)",7,4.5882,85,Online,,/sams/act-ii-butter-lovers-30-ct/prod18440456.ip?xid=plp_product_1_20,
20,productCard-prod22131120,Mind Reader Microwave Shelf Counter Unit with Hooks,26,0,0,Online only,,/sams/microwave-shelf-counter-shelf/prod22131120.ip?xid=plp_product_1_21,
