,Product Id,Product Name,Product Price,Average Rating,Number of Reviews,Product Channel,Product Promotions,product Href,Product Image
0,productCard-prod22161186,Member's Mark Hughes Reclining Sofa,599,4.4156,154,Online,,/sams/members-mark-hughes-reclining-sofa-w-usb/prod22161186.ip?xid=plp_product_1_1,
1,productCard-prod22182688,"Matthew 3-Piece Reclining Sofa, Loveseat, and Chair","1,699",4.2381,21,Online only,,/sams/matthew-seating-set-reclining-set/prod22182688.ip?xid=plp_product_1_2,
2,productCard-prod17710187,Silo Euro Lounger Sofa (Assorted Colors),499,3.8824,51,Online only,,/sams/silo-euro-lounger-lounger-sofa/prod17710187.ip?xid=plp_product_1_3,
3,productCard-prod22101981,Serta Morgan Convertible Sofa,399,4.6538,78,Online,,/sams/morgan-sofa-spring-2018/prod22101981.ip?xid=plp_product_1_4,
4,productCard-prod22970329,Clarence Fabric Reversible Sofa Sectional (Assorted Colors),699,3.5,4,Online only,,/sams/clarence-fabric-reversible-sofa-sectional/prod22970329.ip?xid=plp_product_1_5,
5,productCard-prod22460588,"Serta Crestview Convertible Sofa, Brown",169,3.75,20,Online only,,/sams/serta-crestview-convertible-sofa/prod22460588.ip?xid=plp_product_1_6,
6,productCard-prod22182675,Kenzie Leather Foldable Futon Sofa Bed (Assorted Colors)                                    ,329,3.75,12,Online only,,/sams/kenzie-futon-camel-foldable-futon-bed/prod22182675.ip?xid=plp_product_1_7,
7,productCard-prod22182761,Brayden Tufted Leather Reversible Sectional and Ottoman (Assorted Colors),699,3,7,Online only,,/sams/brayden-sectionalbrn-reversible-sectional/prod22182761.ip?xid=plp_product_1_8,
8,productCard-prod22460144,Kensington Fabric Reclining Sofa,799,0,0,Online only,,/sams/kensington-reclining-sofa/prod22460144.ip?xid=plp_product_1_9,
9,productCard-prod22753624,"Kennedy Top-Grain Leather Loveseat and Sofa, Gray or Cream","2,499",0,0,Online only,,/sams/kennedy-top-grain-leather-loveseat-sofa-grey/prod22753624.ip?xid=plp_product_1_10,
10,productCard-prod20294907,"Winston Reclining Sofa, Loveseat and Chair Set ","1,799",4.3,10,Online only,,/sams/merano-lthr-3pc-set-abbyson-living/prod20294907.ip?xid=plp_product_1_11,
11,productCard-prod22971106,Harrison Power Recline Leather Sofa,"1,299",0,0,Online only,,/sams/harrison-power-recline-leather-sofa/prod22971106.ip?xid=plp_product_1_12,
12,productCard-prod23012261,Princeton Fabric Sofa and Ottoman Set (Assorted Colors),699,0,0,Online only,,/sams/princeton-fabric-sofa-ottoman-set/prod23012261.ip?xid=plp_product_1_13,
13,productCard-prod19860100,"Harris Flared-Arm Sofa, Black",299,3.55,20,Online only,,/sams/harris-sofa-flared-arm-sofa/prod19860100.ip?xid=plp_product_1_14,
14,productCard-prod22310146,"Member's Mark Talbot Sofa, Loveseat, and Accent Chair Set","2,199",0,0,Online only,,/sams/members-mark-talbot-3pc-set-sofa-loveseat-chair/prod22310146.ip?xid=plp_product_1_15,
15,productCard-prod18530055,Kyle Tufted Linen Sofa - Choose Color,949,5,2,Online only,,/sams/kyle-tufted-sofa-linen/prod18530055.ip?xid=plp_product_1_16,
16,productCard-prod22382599,Benjamin Mid-Century Top-Grain Leather Sofa,"1,399",0,0,Online only,,/sams/benjamin-mid-century-top-grain-leather-sofa/prod22382599.ip?xid=plp_product_1_17,
17,productCard-prod22290323,Celeste Power Motion Sofa - Carbon,999,0,0,Online only,,/sams/celeste-power-motion-sofa/prod22290323.ip?xid=plp_product_1_18,
18,productCard-prod22753646,Vincent Top-Grain Leather Reclining Loveseat and Sofa,"2,699",0,0,Online only,,/sams/vincent-top-grain-leather-reclining-loveseat-and-sofa/prod22753646.ip?xid=plp_product_1_19,
19,productCard-prod22181118,Theodore Fabric Reclining Sofa,699,0,0,Online only,,/sams/roosevelt-sofa-reclining-sofa/prod22181118.ip?xid=plp_product_1_20,
20,productCard-prod20294836,Taylor Top-Grain Leather Reclining Sofa ,"1,799",4.4,5,Online only,,/sams/taylor-sofa-abbyson-living/prod20294836.ip?xid=plp_product_1_21,
21,productCard-prod22753641,Rochester Leather Sofa,599,0,0,Online only,,/sams/rochester-leather-sofa/prod22753641.ip?xid=plp_product_1_22,
22,productCard-prod22290286,Hailey Sofa - Teal,649,0,0,Online only,,/sams/hailey-sofa-green/prod22290286.ip?xid=plp_product_1_23,
23,productCard-prod22753660,Darby Mid-Century Tufted Fabric Convertible Sofa Futon (Assorted Colors),329,3,2,Online only,,/sams/darby-mid-century-tufted-fabric-convertible-sofa-futon/prod22753660.ip?xid=plp_product_1_24,
24,productCard-prod20294913,Bentley Top-Grain Leather Reclining Sofa ,"1,699",3.6667,3,Online only,,/sams/bentley-sofa-abbyson-living/prod20294913.ip?xid=plp_product_1_25,
25,productCard-prod11080525,Kingston Leather Sofa,"1,399",4.5833,12,Online only,,/sams/kingston-sofa-replace-part/prod11080525.ip?xid=plp_product_1_26,
26,productCard-prod21330516,Langston Fabric Sofa,599,4.0076,131,Online,,/sams/langston-motion-sofa-fall-2017/prod21330516.ip?xid=plp_product_1_27,
27,productCard-prod22382615,Davenport Velvet Sofa (Assorted Colors),999,0,0,Online only,,/sams/davenport-velvet-sofa/prod22382615.ip?xid=plp_product_1_28,
28,productCard-prod20182827,Klaussner Madison Slipcovered Sofa (Assorted Colors),899,4.6667,6,Online only,,/sams/madison-sofa-slipcover/prod20182827.ip?xid=plp_product_1_29,
29,productCard-prod20294852,Hamptons Top-Grain Leather Reclining Sofa ,"1,499",0,0,Online only,,/sams/hamptons-sofa-abbyson-living/prod20294852.ip?xid=plp_product_1_30,
30,productCard-prod20182756,Klaussner Kari Slipcovered Sofa (Assorted Colors),899,3.5,2,Online only,,/sams/kari-sofa-slipcover/prod20182756.ip?xid=plp_product_1_31,
31,productCard-prod22422520,Member's Mark Harrison Dual Reclining Leather Sofa,649,4,45,Online,,/sams/members-mark-harrison-dual-recline-leather-sofa/prod22422520.ip?xid=plp_product_1_32,
32,productCard-prod17710154,"Hamptons Top-Grain Leather Reclining Sofa, Loveseat and Chair Set","2,699",4.1176,17,Online only,,/sams/hamptons-leather-3-pc-set/prod17710154.ip?xid=plp_product_1_33,
33,productCard-prod20070888,Remington Sofa (Assorted Colors),699,4.5,6,Online only,,/sams/remington-sofa-char-3800-03-charcoal/prod20070888.ip?xid=plp_product_1_34,
34,productCard-prod18150087,"Terranova Top-Grain Leather Reclining Sofa, Loveseat and Armchair Set","2,199",3.5455,11,Online only,,/sams/abbyson-living-terranova-3pc/prod18150087.ip?xid=plp_product_1_35,
35,productCard-prod18150081,"Mavin Top-Grain Leather Sofa, Loveseat and Armchair Set","2,499",4,24,Online,,/sams/abbyson-living-mavin-2pc/prod18150081.ip?xid=plp_product_1_36,
36,productCard-prod23101689,"Franklin Top-Grain Leather 3-Piece Reclining Sofa, Loveseat and Chair Set","3,299",0,0,Online only,,/sams/franklin-top-grain-leather-3-piece-reclining-sofa-loveseat-chair/prod23101689.ip?xid=plp_product_1_37,
37,productCard-prod18150080,"Maverick Top-Grain Leather Sofa, Loveseat and Armchair Set","2,699",3.2222,9,Online only,,/sams/abbyson-living-maverick-3pc/prod18150080.ip?xid=plp_product_1_38,
38,productCard-prod20294850,Sophie Top-Grain Leather Sofa ,"1,299",0,0,Online only,,/sams/sophie-sofa-abbyson-living/prod20294850.ip?xid=plp_product_1_39,
39,productCard-prod22885901,"Brahms Reversible Sectional Sofa with Storage, Gray",999,5,1,Online only,,/sams/brahms-reversible-sectional-sofa-storage-gray/prod22885901.ip?xid=plp_product_1_40,
40,productCard-prod21441604,"Stanford 6-Piece Sectional Sofa, Black","2,299",4.75,4,Online only,,/sams/stanford-6-piece-black-sectional-sofa/prod21441604.ip?xid=plp_product_1_41,
