,Product Id,Product Name,Product Price,Average Rating,Number of Reviews,Product Channel,Product Promotions,product Href,Product Image
0,productCard-prod22252142,"SAMSUNG 82"" Class 4K (2160p) Ultra HD Smart LED TV with HDR - UN82NU800DFXZA","2,199",4.5544,193,Online,,/sams/82-uhd-smart-240mr-4-hdmi-wifi/prod22252142.ip?xid=plp_product_1_1,
1,productCard-prod22273770,"SAMSUNG 65"" Class 4K (2160p) Ultra HD Smart QLED TV with HDR - QN65Q65FNFXZA",,4.25,220,,Member-only price,/sams/samsung-65-4k-2160p-ultra-hd-smart-qled-hdr-tv-qn65q65fnfxza/prod22273770.ip?xid=plp_product_1_2,
2,productCard-prod22273723,"SAMSUNG 75"" Class 4K (2160p) Ultra HD Smart LED TV with HDR - UN75NU710DFXZA/EXZA",,3.7655,145,Online,Member-only price,/sams/samsung-75-4k-2160p-ultra-hd-smart-led-tv-un75nu710dfxza/prod22273723.ip?xid=plp_product_1_3,
3,productCard-prod22261074,"VIZIO P-Series® 75"" Class (74.5"" Diag.) 4K HDR Smart TV","1,449",4.4189,222,Online,,/sams/75-4k-uhd-smart-240hz-5-hdmi/prod22261074.ip?xid=plp_product_1_4,
4,productCard-prod22480539,VIZIO V-Series 50” Class  4K HDR Smart TV - V505-G9,319,4.1387,173,Online,,/sams/vizio-v-series-50in-4k-uhd-hdr-smart-tv/prod22480539.ip?xid=plp_product_1_5,
5,productCard-prod22710020,"TCL 65"" Class 4K UHD Roku Smart TV - 65S423",479,4.625,24,Online,,/sams/tcl-65in-class-4k-uhd-roku-smart-tv-65s423/prod22710020.ip?xid=plp_product_1_6,
6,productCard-prod22261069,"VIZIO D-Series 60"" Class (60"" Diag.) 4K Ultra HD HDR Smart TV – D60-F3",469,4.0545,220,Online,,/sams/60-4k-uhd-smart-120hz-3-hdmi/prod22261069.ip?xid=plp_product_1_7,
7,productCard-prod22464495,"SAMSUNG 50"" Class 4K (2160p) Ultra HD Smart LED TV - UN50NU6950FXZA",329,4.0229,218,Online,,/sams/samsung-50in-4k-2160p-uhd-smart-led-tv-6000-series/prod22464495.ip?xid=plp_product_1_8,
8,productCard-prod22464498,"SAMSUNG 65"" Class 4K (2160p) Ultra HD Smart LED TV - UN65NU6950FXZA",599,3.4463,121,Online,$50 off with Tech Savings,/sams/samsung-65in-4k-2160p-uhd-smart-led-tv/prod22464498.ip?xid=plp_product_1_9,
9,productCard-prod21422758,"Samsung 58"" Class 4K (2160p) Ultra HD Smart LED TV with HDR - UN58MU6070EXZA",,4.5458,491,,Member-only price,/sams/58-uhd-smart-120hz-2-hdmi-wifi/prod21422758.ip?xid=plp_product_1_10,
10,productCard-prod22522468,"LG 49"" Class 4K UHD HDR Smart TV - 49UK6090PUA",,4.6324,1393,,$50 off ,/sams/lg-49in-4k-hdr-smart-led-uhd-tv-49uk6090pua/prod22522468.ip?xid=plp_product_1_11,
11,productCard-prod22271310,"SAMSUNG 65"" Class 4K (2160p) Ultra HD Smart LED TV with HDR - UN65NU710DFXZA",,3.8908,174,,$100 off ,/sams/samsung-65-4k-2160p-ultra-hd-smart-led-tv-un65nu710dfxza/prod22271310.ip?xid=plp_product_1_12,
12,productCard-prod22464496,"SAMSUNG 55"" Class 4K (2160p) Ultra HD Smart LED TV - UN55NU6950FXZA",399,4.05,220,Online,$50 off with Tech Savings,/sams/samsung-55in-4k-2160p-uhd-smart-led-tv-6000-series/prod22464496.ip?xid=plp_product_1_13,
13,productCard-prod22252111,"LG 70"" Class 4K HDR Smart LED AI UHD TV w/ThinQ - 70UK6570AUB/PUB",749,4.5459,185,Online,$100 off ,/sams/70-uhd-smart-120hz-4-hdmi-wifi/prod22252111.ip?xid=plp_product_1_14,
14,productCard-prod22481864,"LG 75"" Class 4K HDR Smart LED UHD TV - 75UK6190PUB",999,4.5714,364,Online,,/sams/lg-75in-4k-hdr-smart-led-uhd-tv-75uk6190pub/prod22481864.ip?xid=plp_product_1_15,
15,productCard-prod22480549,VIZIO D-Series™ 40” Class Smart TV - D40f-G9,199,4.3961,207,Online,,/sams/vizio-d-series-40in-1080p-smart-tv/prod22480549.ip?xid=plp_product_1_16,
16,productCard-prod21051476,"VIZIO 80"" Class XLED 4K Ultra HD SmartCast Home Theater Display - E80-E3","1,799",4.0192,156,Online only,,/sams/80-uhd-smartcast-120hz-4-hdmi-wifi/prod21051476.ip?xid=plp_product_1_17,
17,productCard-prod22520300,"SAMSUNG 49"" Class 4K (2160p) Ultra HD Smart LED TV - UN49NU8000FXZA",524,4.5436,195,Online only,,/sams/samsung-49in-4k-2160p-uhd-smart-led-tv-8000-series/prod22520300.ip?xid=plp_product_1_18,
18,productCard-prod22252109,"LG 50"" Class 4K HDR Smart LED AI UHD TV w/ThinQ - 50UK6500AUA",349,4.6392,1067,Online,,/sams/50-uhd-smart-120hz-4-hdmi-wifi/prod22252109.ip?xid=plp_product_1_19,
19,productCard-prod22261075,"VIZIO E-Series 75"" Class (74.5"" Diag.) 4K Ultra HD HDR Smart TV – E75-F1/2",988,4.2196,255,Online,,/sams/75-4k-uhd-smart-120hz-4-hdmi/prod22261075.ip?xid=plp_product_1_20,
20,productCard-prod21426226,"SAMSUNG 43"" Class 1080p Smart TV - UN43J5202AFXZA",,4.4658,161,,Member-only price,/sams/43-1080p-smart-tbd/prod21426226.ip?xid=plp_product_1_21,
21,productCard-prod22261084,"VIZIO D-Series 43"" Class (42.5"" Diag.) 4K Ultra HD HDR Smart TV – D43-F1		",269,4.2164,171,Online,,/sams/43-4k-uhd-smart-120hz-3-hdmi/prod22261084.ip?xid=plp_product_1_22,
22,productCard-prod22970415,"VIZIO V-Series™ 65"" Class 4K HDR Smart TV - V655-G9",589,5,5,Online,,/sams/vizio-v-series-65in-4k-hdr-smart-tv-v655-g9/prod22970415.ip?xid=plp_product_1_23,
23,productCard-prod22261077,"VIZIO E-Series 70"" Class (69.5"" Diag.) 4K Ultra HD HDR Smart TV – E70-F3",749,4.2718,379,Online,,/sams/70-4k-uhd-smart-120hz-4-hdmi/prod22261077.ip?xid=plp_product_1_24,
